Contig,Blastx_spID,Blastx_Description,Blastx_e-value,DEG_log2FoldChange,DEG_padj,Enriched_GO_Terms
Phel_contig_23046,Q7NQS9,Ribose-phosphate pyrophosphokinase (RPPK) (EC 2.7.6.1) (Phosphoribosyl pyrophosphate synthase) (P-Rib-PP synthase) (PRPP synthase),6.00E-115,,,
Phel_contig_23047,Q05187,Hemocyte protein-glutamine gamma-glutamyltransferase (EC 2.3.2.13) (Hemocyte transglutaminase) (TGase),2.00E-117,,,
Phel_contig_23048,,,,-2.889958412,0.006813235,
Phel_contig_23049,,,,,,
Phel_contig_2305,Q2HJF9,"Radical S-adenosyl methionine domain-containing protein 2 (Viperin) (Virus inhibitory protein, endoplasmic reticulum-associated, interferon-inducible)",1.00E-72,,,
Phel_contig_23050,,,,,,
Phel_contig_23051,,,,,,
Phel_contig_23052,Q8IZJ3,C3 and PZP-like alpha-2-macroglobulin domain-containing protein 8,1.00E-88,,,
Phel_contig_23053,Q8NEZ4,Histone-lysine N-methyltransferase 2C (Lysine N-methyltransferase 2C) (EC 2.1.1.43) (Homologous to ALR protein) (Myeloid/lymphoid or mixed-lineage leukemia protein 3),3.00E-19,,,
Phel_contig_23054,,,,,,
Phel_contig_23055,,,,,,
Phel_contig_23056,Q66JF1,Transcription factor Sox-11,7.00E-39,,,
Phel_contig_23057,,,,,,
Phel_contig_23058,,,,,,
Phel_contig_23059,,,,-2.280998645,0.002824055,
Phel_contig_2306,Q9XUE6,Probable phosphomannomutase (PMM) (EC 5.4.2.8),9.00E-58,,,
Phel_contig_23060,,,,,,
Phel_contig_23061,,,,4.526573792,0.000184823,
Phel_contig_23062,,,,,,
Phel_contig_23063,,,,,,
Phel_contig_23064,,,,,,
Phel_contig_23065,Q9P0Z9,Peroxisomal sarcosine oxidase (PSO) (EC 1.5.3.1) (EC 1.5.3.7) (L-pipecolate oxidase) (L-pipecolic acid oxidase),1.00E-67,,,
Phel_contig_23066,Q8IZF0,Sodium leak channel non-selective protein (CanIon) (Voltage gated channel-like protein 1),5.00E-33,,,
Phel_contig_23067,,,,-2.664428665,0.003963985,
Phel_contig_23068,,,,,,
Phel_contig_23069,Q8C8N2,Protein SCAI (Suppressor of cancer cell invasion protein),7.00E-46,,,
Phel_contig_2307,,,,,,
Phel_contig_23070,,,,,,
Phel_contig_23071,,,,,,
Phel_contig_23072,,,,-2.438898251,0.002097206,
Phel_contig_23073,,,,,,
Phel_contig_23074,,,,,,
Phel_contig_23075,Q1JQC1,Major facilitator superfamily domain-containing protein 1,9.00E-44,,,
Phel_contig_23076,,,,,,
Phel_contig_23078,P42086,Xanthine permease,2.00E-23,,,
Phel_contig_23079,,,,,,
Phel_contig_2308,Q5ZIM6,Protein AATF (Apoptosis-antagonizing transcription factor),5.00E-62,,,
Phel_contig_23080,,,,,,
Phel_contig_23081,Q15751,Probable E3 ubiquitin-protein ligase HERC1 (EC 6.3.2.-) (HECT domain and RCC1-like domain-containing protein 1) (p532) (p619),4.00E-163,,,
Phel_contig_23082,,,,,,
Phel_contig_23083,Q3URF8,BTB/POZ domain-containing protein KCTD21,9.00E-29,,,
Phel_contig_23084,Q5RCW5,Alpha-1-antitrypsin (Alpha-1 protease inhibitor) (Alpha-1-antiproteinase) (Serpin A1),5.00E-11,,,
Phel_contig_23085,,,,,,
Phel_contig_23086,,,,,,
Phel_contig_23087,,,,,,
Phel_contig_23088,,,,,,
Phel_contig_23089,,,,,,
Phel_contig_2309,,,,,,
Phel_contig_23090,,,,,,
Phel_contig_23091,Q4KLM5,Activator of basal transcription 1,3.00E-40,,,
Phel_contig_23092,P0C090,Roquin-2 (Membrane-associated nucleic acid-binding protein) (RING finger and CCCH-type zinc finger domain-containing protein 2),7.00E-141,,,
Phel_contig_23093,Q5R822,Nuclear pore complex protein Nup93 (93 kDa nucleoporin) (Nucleoporin Nup93),7.00E-62,,,
Phel_contig_23094,B2JHX9,Imidazole glycerol phosphate synthase subunit HisF (EC 4.1.3.-) (IGP synthase cyclase subunit) (IGP synthase subunit HisF) (ImGP synthase subunit HisF) (IGPS subunit HisF),9.00E-25,,,
Phel_contig_23095,,,,,,
Phel_contig_23097,O35738,Krueppel-like factor 12 (Transcriptional repressor AP-2rep),4.00E-16,,,
Phel_contig_23098,,,,,,
Phel_contig_23099,,,,,,
Phel_contig_231,Q90Z10,60S ribosomal protein L13,1.00E-92,,,
Phel_contig_2310,P79781,Ubiquitin-40S ribosomal protein S27a (Ubiquitin carboxyl extension protein 80) [Cleaved into: Ubiquitin; 40S ribosomal protein S27a],5.00E-63,,,
Phel_contig_23100,,,,,,
Phel_contig_23101,P60484,"Phosphatidylinositol 3,4,5-trisphosphate 3-phosphatase and dual-specificity protein phosphatase PTEN (EC 3.1.3.16) (EC 3.1.3.48) (EC 3.1.3.67) (Mutated in multiple advanced cancers 1) (Phosphatase and tensin homolog)",3.00E-146,,,
Phel_contig_23102,,,,,,
Phel_contig_23103,,,,,,
Phel_contig_23104,Q66JG5,Transcriptional adapter 3 (ADA3 homolog) (Transcriptional adapter 3-like) (ADA3-like protein),3.00E-91,,,
Phel_contig_23105,,,,,,
Phel_contig_23106,,,,,,
Phel_contig_23107,,,,,,
Phel_contig_23108,A4IFK7,RILP-like protein 2 (Rab-interacting lysosomal-like protein 2),9.00E-15,,,
Phel_contig_23109,Q6P158,Putative ATP-dependent RNA helicase DHX57 (EC 3.6.4.13) (DEAH box protein 57),9.00E-111,,,
Phel_contig_2311,,,,1.685320564,0.029348109,
Phel_contig_23111,,,,,,
Phel_contig_23113,,,,,,
Phel_contig_23114,,,,,,
Phel_contig_23115,Q96PQ7,Kelch-like protein 5,9.00E-42,,,
Phel_contig_23116,,,,,,
Phel_contig_23117,,,,,,
Phel_contig_23118,Q8BL06,Inactive ubiquitin carboxyl-terminal hydrolase 54 (Inactive ubiquitin-specific peptidase 54),5.00E-65,,,
Phel_contig_2312,P82151,Lectin L6,9.00E-31,,,
Phel_contig_23120,,,,,,
Phel_contig_23121,,,,,,
Phel_contig_23122,P05165,"Propionyl-CoA carboxylase alpha chain, mitochondrial (PCCase subunit alpha) (EC 6.4.1.3) (Propanoyl-CoA:carbon dioxide ligase subunit alpha)",3.00E-148,,,
Phel_contig_23123,,,,,,
Phel_contig_23124,A2RU67,Uncharacterized protein KIAA1467,9.00E-08,,,
Phel_contig_23125,,,,,,
Phel_contig_23126,P44016,Putative oligopeptide transporter HI_0561,2.00E-60,,,
Phel_contig_23127,,,,,,
Phel_contig_23128,Q8W471,"Long-chain-fatty-acid--[acyl-carrier-protein] ligase AEE15, chloroplastic (EC 6.2.1.20) (Acyl-[acyl-carrier-protein] synthetase) (Acyl-activating enzyme 15)",1.00E-20,,,
Phel_contig_23129,Q8ZES9,Long-chain-fatty-acid--CoA ligase (EC 6.2.1.3) (Long-chain acyl-CoA synthetase),0,,,
Phel_contig_2313,,,,6.845625167,1.37E-13,
Phel_contig_23130,,,,,,
Phel_contig_23131,Q0S0L7,Guanylate kinase (EC 2.7.4.8) (GMP kinase),5.00E-38,,,
Phel_contig_23132,,,,,,
Phel_contig_23133,,,,,,
Phel_contig_23134,Q15155,Nodal modulator 1 (pM5 protein),6.00E-90,,,
Phel_contig_23135,Q05654,,2.00E-52,,,
Phel_contig_23136,,,,,,
Phel_contig_23137,A0QWG8,Pyridoxal biosynthesis lyase PdxS (EC 4.-.-.-),1.00E-07,,,
Phel_contig_23138,O07147,GDP-mannose-dependent alpha-(1-2)-phosphatidylinositol mannosyltransferase (EC 2.4.1.57) (Alpha-mannosyltransferase) (Guanosine diphosphomannose-phosphatidyl-inositol alpha-mannosyltransferase) (Phosphatidylinositol alpha-mannosyltransferase) (PI alpha-mannosyltransferase),2.00E-66,,,
Phel_contig_23139,O34436,Probable low-affinity inorganic phosphate transporter,2.00E-26,,,
Phel_contig_23140,Q9U2M7,"Bis(5'-nucleosyl)-tetraphosphatase [asymmetrical] (EC 3.6.1.-) (Diadenosine 5',5'''-P1,P4-tetraphosphate asymmetrical hydrolase) (Ap4A hydrolase) (Ap4Aase) (Diadenosine tetraphosphatase) (Nudix hydrolase 4)",4.00E-27,,,
Phel_contig_23141,Q5EA50,Rab9 effector protein with kelch motifs,8.00E-16,,,
Phel_contig_23142,,,,,,
Phel_contig_23143,Q7ZY56,HEAT repeat-containing protein 6,1.00E-99,,,
Phel_contig_23144,O02414,"Dynein light chain LC6, flagellar outer arm",8.00E-15,,,
Phel_contig_23145,,,,,,
Phel_contig_23146,,,,,,
Phel_contig_23147,P83565,"39S ribosomal protein L40, mitochondrial (L40mt) (MRP-L40)",3.00E-14,,,
Phel_contig_23148,Q5HZE0,Mitochondrial carnitine/acylcarnitine carrier protein CACL (Carnitine/acylcarnitine translocase-like) (CACT-like) (Mitochondrial ornithine transporter 3) (Solute carrier family 25 member 29),8.00E-36,,,
Phel_contig_2315,,,,-2.639038133,5.56E-05,
Phel_contig_23150,,,,,,
Phel_contig_23151,,,,,,
Phel_contig_23152,Q09225,Nose resistant to fluoxetine protein 6 (Protein nrf-6),3.00E-19,,,
Phel_contig_23153,Q9BT30,"Alpha-ketoglutarate-dependent dioxygenase alkB homolog 7, mitochondrial (EC 1.14.11.-) (Alkylated DNA repair protein alkB homolog 7) (Spermatogenesis cell proliferation-related protein) (Spermatogenesis-associated protein 11)",1.00E-38,,,
Phel_contig_23154,Q80U59,Uncharacterized protein KIAA0232,5.00E-06,,,
Phel_contig_23155,,,,,,
Phel_contig_23156,Q9ASR4,Branched-chain-amino-acid aminotransferase-like protein 2,3.00E-09,,,
Phel_contig_23157,,,,,,
Phel_contig_23158,P64609,Probable phospholipid ABC transporter permease protein MlaE,1.00E-53,,,
Phel_contig_23159,,,,,,
Phel_contig_2316,,,,,,
Phel_contig_23160,,,,,,
Phel_contig_23161,,,,,,
Phel_contig_23162,Q9Y485,DmX-like protein 1 (X-like 1 protein),2.00E-54,,,
Phel_contig_23163,,,,,,
Phel_contig_23164,,,,,,
Phel_contig_23165,,,,,,
Phel_contig_23166,Q23023,Serine/threonine-protein kinase unc-51 (EC 2.7.11.1) (Uncoordinated protein 51),2.00E-32,,,
Phel_contig_23167,,,,,,
Phel_contig_23168,,,,,,
Phel_contig_23169,,,,,,
Phel_contig_2317,Q5U4S8,Ceramide glucosyltransferase-B (EC 2.4.1.80) (UDP-glucose ceramide glucosyltransferase),5.00E-128,1.547639351,0.003075044,
Phel_contig_23170,,,,,,
Phel_contig_23171,,,,,,
Phel_contig_23172,,,,,,
Phel_contig_23173,,,,,,
Phel_contig_23174,,,,,,
Phel_contig_23175,Q9W735,Prominin-1-A (Prominin-like protein 1),1.00E-53,,,
Phel_contig_23176,,,,,,
Phel_contig_23177,P07001,NAD(P) transhydrogenase subunit alpha (EC 1.6.1.2) (Nicotinamide nucleotide transhydrogenase subunit alpha) (Pyridine nucleotide transhydrogenase subunit alpha),8.00E-17,,,
Phel_contig_23178,Q14642,"Type I inositol 1,4,5-trisphosphate 5-phosphatase (5PTase) (EC 3.1.3.56)",4.00E-73,,,
Phel_contig_23179,D5DJL5,Ribosome biogenesis GTPase A,3.00E-34,,,
Phel_contig_2318,,,,1.445741441,0.025813455,
Phel_contig_23181,,,,,,
Phel_contig_23182,,,,-1.935585284,0.029561361,
Phel_contig_23183,,,,,,
Phel_contig_23184,,,,,,
Phel_contig_23185,,,,,,
Phel_contig_23186,P03852,Uncharacterized 15.3 kDa protein,4.00E-73,,,
Phel_contig_23187,Q8N3C7,CAP-Gly domain-containing linker protein 4 (Restin-like protein 2),4.00E-22,,,
Phel_contig_23188,,,,,,
Phel_contig_23189,,,,,,
Phel_contig_2319,,,,,,
Phel_contig_23190,Q9JLY7,Dual specificity protein phosphatase 14 (EC 3.1.3.16) (EC 3.1.3.48) (Mitogen-activated protein kinase phosphatase 6) (MAP kinase phosphatase 6) (MKP-6),3.00E-34,,,
Phel_contig_23191,,,,,,
Phel_contig_23192,O55236,mRNA-capping enzyme (HCE) (MCE1) [Includes: Polynucleotide 5'-triphosphatase (TPase) (mRNA 5'-triphosphatase) (EC 3.1.3.33); mRNA guanylyltransferase (EC 2.7.7.50) (GTP--RNA guanylyltransferase) (GTase)],5.00E-36,,,
Phel_contig_23193,P51574,"Solute carrier family 15 member 1 (Intestinal H(+)/peptide cotransporter) (Oligopeptide transporter, small intestine isoform) (Peptide transporter 1) (Proton-coupled dipeptide cotransporter)",1.00E-32,,,
Phel_contig_23194,,,,,,
Phel_contig_23195,,,,,,
Phel_contig_23196,Q6NFH6,UPF0678 fatty acid-binding protein-like protein DIP1915,3.00E-73,,,
Phel_contig_23197,,,,,,
Phel_contig_23198,O70405,Serine/threonine-protein kinase ULK1 (EC 2.7.11.1) (Serine/threonine-protein kinase Unc51.1) (Unc-51-like kinase 1),1.00E-72,,,
Phel_contig_23199,Q62130,Tyrosine-protein phosphatase non-receptor type 14 (EC 3.1.3.48) (Protein-tyrosine phosphatase PTP36),2.00E-65,,,
Phel_contig_232,Q9U2H9,Probable elongation factor 1-beta/1-delta 2 (EF-1-beta/delta 2),3.00E-11,,,
Phel_contig_2320,,,,2.146406019,0.00969048,
Phel_contig_23200,,,,,,
Phel_contig_23201,,,,,,
Phel_contig_23202,Q9Z321,DNA topoisomerase 3-beta-1 (EC 5.99.1.2) (DNA topoisomerase III beta-1),0,,,
Phel_contig_23203,Q9PTN2,"Vitamin D3 receptor A (VDR-A) (1,25-dihydroxyvitamin D3 receptor A) (Nuclear receptor subfamily 1 group I member 1-A)",1.00E-13,,,
Phel_contig_23204,,,,,,
Phel_contig_23205,Q9GZR5,Elongation of very long chain fatty acids protein 4 (EC 2.3.1.199) (3-keto acyl-CoA synthase ELOVL4) (ELOVL fatty acid elongase 4) (ELOVL FA elongase 4) (Very-long-chain 3-oxoacyl-CoA synthase 4),4.00E-53,-3.173417294,0.009584207,
Phel_contig_23206,Q5TZ07,Presqualene diphosphate phosphatase (EC 3.1.3.-) (Phosphatidic acid phosphatase type 2 domain-containing protein 2),3.00E-25,,,
Phel_contig_23207,,,,,,
Phel_contig_23208,,,,,,
Phel_contig_2321,P49596,Probable protein phosphatase 2C T23F11.1 (PP2C) (EC 3.1.3.16),6.00E-129,,,
Phel_contig_23211,Q9WU22,Tyrosine-protein phosphatase non-receptor type 4 (EC 3.1.3.48) (Testis-enriched protein tyrosine phosphatase),5.00E-08,,,
Phel_contig_23212,Q5EBF1,Cytosolic purine 5'-nucleotidase (EC 3.1.3.5) (Cytosolic 5'-nucleotidase II),3.00E-33,,,
Phel_contig_23213,,,,,,
Phel_contig_23215,P20241,Neuroglian,1.00E-21,,,
Phel_contig_23216,P80404,"4-aminobutyrate aminotransferase, mitochondrial (EC 2.6.1.19) ((S)-3-amino-2-methylpropionate transaminase) (EC 2.6.1.22) (GABA aminotransferase) (GABA-AT) (Gamma-amino-N-butyrate transaminase) (GABA transaminase) (GABA-T) (L-AIBAT)",2.00E-177,,,
Phel_contig_23217,P23206,Collagen alpha-1(X) chain,2.00E-10,,,
Phel_contig_23218,,,,,,
Phel_contig_23219,,,,,,
Phel_contig_2322,,,,,,
Phel_contig_23220,Q5THJ4,Vacuolar protein sorting-associated protein 13D,4.00E-65,,,
Phel_contig_23221,Q03470,DNA gyrase subunit A (EC 5.99.1.3),9.00E-18,,,
Phel_contig_23222,P28355,Single-stranded-DNA-specific exonuclease RecJ (EC 3.1.-.-),1.00E-101,,,
Phel_contig_23223,Q921V5,"Alpha-1,6-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase (EC 2.4.1.143) (Beta-1,2-N-acetylglucosaminyltransferase II) (GlcNAc-T II) (GNT-II) (Mannoside acetylglucosaminyltransferase 2) (N-glycosyl-oligosaccharide-glycoprotein N-acetylglucosaminyltransferase II)",5.00E-131,,,
Phel_contig_23224,A1KRG8,30S ribosomal protein S12,1.00E-68,,,
Phel_contig_23226,,,,,,
Phel_contig_23227,,,,,,
Phel_contig_23228,Q5YTP9,UvrABC system protein C (Protein UvrC) (Excinuclease ABC subunit C),4.00E-53,,,
Phel_contig_23229,Q6P5B0,RRP12-like protein,8.00E-15,,,
Phel_contig_2323,Q8R0A7,Uncharacterized protein KIAA0513,2.00E-31,2.64967412,4.54E-05,
Phel_contig_23230,Q5JWR5,Protein dopey-1,1.00E-44,,,
Phel_contig_23231,Q68CP9,AT-rich interactive domain-containing protein 2 (ARID domain-containing protein 2) (BRG1-associated factor 200) (BAF200) (Zinc finger protein with activation potential) (Zipzap/p200),2.00E-46,,,
Phel_contig_23232,,,,,,
Phel_contig_23233,,,,,,
Phel_contig_23234,A4III8,Tetratricopeptide repeat protein 26 (TPR repeat protein 26),3.00E-101,,,
Phel_contig_23235,,,,-3.441878989,0.000399085,
Phel_contig_23236,Q8R151,NFX1-type zinc finger-containing protein 1,1.00E-48,,,
Phel_contig_23237,Q9JLC8,Sacsin (DnaJ homolog subfamily C member 29) (DNAJC29),1.00E-08,,,
Phel_contig_23238,Q2KIY1,Peroxisomal membrane protein 2,7.00E-43,,,
Phel_contig_23239,O66043,Cardiolipin synthase (CL synthase) (EC 2.7.8.-),6.00E-36,,,
Phel_contig_2324,,,,4.302075097,0.000483658,
Phel_contig_23240,,,,,,
Phel_contig_23241,P45972,Probable zinc finger transcription factor protein 17,1.00E-05,,,
Phel_contig_23242,Q9D7B6,"Isobutyryl-CoA dehydrogenase, mitochondrial (EC 1.3.99.-) (Acyl-CoA dehydrogenase family member 8) (ACAD-8)",1.00E-98,,,
Phel_contig_23243,Q66HY8,Pyridoxal-dependent decarboxylase domain-containing protein 1 (EC 4.1.1.-),2.00E-30,,,
Phel_contig_23244,,,,,,
Phel_contig_23245,Q5T011,Protein SZT2 (Seizure threshold 2 protein homolog),6.00E-28,,,
Phel_contig_23246,Q9HWF9,Bacterioferritin (BFR) (EC 1.16.3.1),3.00E-47,,,
Phel_contig_23247,,,,,,
Phel_contig_23248,Q923S9,Ras-related protein Rab-30,4.00E-12,,,
Phel_contig_2325,,,,,,
Phel_contig_23250,,,,,,
Phel_contig_23251,,,,2.374266917,0.030296546,
Phel_contig_23252,Q8N157,Jouberin (Abelson helper integration site 1 protein homolog) (AHI-1),8.00E-65,,,
Phel_contig_23253,Q9JTX5,tRNA pseudouridine synthase B (EC 5.4.99.25) (tRNA pseudouridine(55) synthase) (Psi55 synthase) (tRNA pseudouridylate synthase) (tRNA-uridine isomerase),1.00E-51,,,
Phel_contig_23254,,,,,,
Phel_contig_23255,Q14191,"Werner syndrome ATP-dependent helicase (EC 3.6.4.12) (DNA helicase, RecQ-like type 3) (RecQ3) (Exonuclease WRN) (EC 3.1.-.-) (RecQ protein-like 2)",4.00E-08,,,
Phel_contig_23256,,,,,,
Phel_contig_23257,D3ZSZ3,Serine/threonine-protein kinase NLK (EC 2.7.11.24) (Nemo-like kinase),0,,,
Phel_contig_23258,,,,,,
Phel_contig_23259,,,,-1.85158536,0.016341554,
Phel_contig_2326,Q9H0F5,RING finger protein 38,2.00E-48,,,
Phel_contig_23260,,,,,,
Phel_contig_23261,P55211,Caspase-9 (CASP-9) (EC 3.4.22.62) (Apoptotic protease Mch-6) (Apoptotic protease-activating factor 3) (APAF-3) (ICE-like apoptotic protease 6) (ICE-LAP6) [Cleaved into: Caspase-9 subunit p35; Caspase-9 subunit p10],3.00E-30,,,
Phel_contig_23262,,,,,,
Phel_contig_23263,Q96GJ1,tRNA (uracil(54)-C(5))-methyltransferase homolog (EC 2.1.1.35) (TRM2 homolog),6.00E-53,,,
Phel_contig_23264,,,,,,
Phel_contig_23265,,,,,,
Phel_contig_23266,F6VSS6,tRNA (guanine(37)-N1)-methyltransferase (EC 2.1.1.228) (M1G-methyltransferase) (tRNA [GM37] methyltransferase) (tRNA methyltransferase 5 homolog),4.00E-40,,,
Phel_contig_23267,,,,,,
Phel_contig_23268,Q8C033,Rho guanine nucleotide exchange factor 10,3.00E-31,,,
Phel_contig_23269,,,,,,
Phel_contig_2327,Q6DD06,Zinc finger CCCH domain-containing protein 15 (DRG family-regulatory protein 1),7.00E-85,1.884588865,0.003716711,
Phel_contig_23270,Q46863,Putative binding protein YgiS,1.00E-07,,,
Phel_contig_23271,,,,,,
Phel_contig_23272,,,,,,
Phel_contig_23273,Q56902,O-antigen export system permease protein RfbD,3.00E-22,,,
Phel_contig_23274,,,,,,
Phel_contig_23275,Q5THJ4,Vacuolar protein sorting-associated protein 13D,6.00E-87,,,
Phel_contig_23276,O42611,Protein HIRA (TUP1-like enhancer of split protein 1),3.00E-93,,,
Phel_contig_23277,,,,,,
Phel_contig_23278,Q6NIN5,UPF0182 protein DIP0733,1.00E-158,,,
Phel_contig_23279,,,,,,
Phel_contig_2328,A5D6U8,Iron/zinc purple acid phosphatase-like protein (EC 3.1.3.2),3.00E-171,,,
Phel_contig_23280,Q5G266,Neurotrypsin (EC 3.4.21.-) (Serine protease 12),2.00E-29,,,
Phel_contig_23281,,,,,,
Phel_contig_23282,,,,,,
Phel_contig_23283,E1V4H2,Probable periplasmic serine endoprotease DegP-like (EC 3.4.21.107) (Protease Do),3.00E-88,,,
Phel_contig_23284,,,,,,
Phel_contig_23285,Q9D099,Alkaline ceramidase 3 (AlkCDase 3) (Alkaline CDase 3) (EC 3.5.1.-) (Alkaline phytoceramidase) (aPHC),3.00E-07,-3.927611718,0.005672468,
Phel_contig_23286,,,,,,
Phel_contig_23287,,,,,,
Phel_contig_23288,,,,2.917721217,0.018247353,
Phel_contig_23289,,,,,,
Phel_contig_2329,,,,,,
Phel_contig_23290,,,,,,
Phel_contig_23291,,,,,,
Phel_contig_23292,Q8BWW4,La-related protein 4 (La ribonucleoprotein domain family member 4),1.00E-28,,,
Phel_contig_23293,Q92J97,Succinate dehydrogenase flavoprotein subunit (EC 1.3.99.1),1.00E-52,,,
Phel_contig_23296,,,,,,
Phel_contig_23297,,,,,,
Phel_contig_23298,A1K4K7,Isocitrate dehydrogenase kinase/phosphatase (IDH kinase/phosphatase) (IDHK/P) (EC 2.7.11.5) (EC 3.1.3.-),3.00E-84,,,
Phel_contig_23299,,,,,,
Phel_contig_233,,,,,,
Phel_contig_2330,,,,,,
Phel_contig_23300,O59028,Malate dehydrogenase (EC 1.1.1.37),6.00E-46,-2.9462352,0.011338884,
Phel_contig_23301,,,,,,
Phel_contig_23302,A6QNK1,Galactosylceramide sulfotransferase (GalCer sulfotransferase) (EC 2.8.2.11) (3'-phosphoadenosine-5'-phosphosulfate:GalCer sulfotransferase) (3'-phosphoadenylylsulfate:galactosylceramide 3'-sulfotransferase) (Cerebroside sulfotransferase),5.00E-59,,,
Phel_contig_23303,,,,,,
Phel_contig_23304,,,,,,
Phel_contig_23305,Q8BHY8,Sorting nexin-14,4.00E-53,,,
Phel_contig_23306,,,,,,
Phel_contig_23307,P11137,Microtubule-associated protein 2 (MAP-2),4.00E-17,,,
Phel_contig_23308,,,,,,
Phel_contig_23309,A0R033,Phospho-2-dehydro-3-deoxyheptonate aldolase AroG (EC 2.5.1.54) (3-deoxy-D-arabino-heptulosonate 7-phosphate synthase) (DAHP synthase) (Phospho-2-keto-3-deoxyheptonate aldolase),2.00E-28,,,
Phel_contig_2331,,,,,,
Phel_contig_23310,P22700,Calcium-transporting ATPase sarcoplasmic/endoplasmic reticulum type (EC 3.6.3.8) (Calcium ATPase at 60A) (Calcium pump),3.00E-60,,,
Phel_contig_23311,O75581,Low-density lipoprotein receptor-related protein 6 (LRP-6),6.00E-48,,,
Phel_contig_23312,,,,,,
Phel_contig_23313,,,,,,
Phel_contig_23314,A1KR57,Methionine--tRNA ligase (EC 6.1.1.10) (Methionyl-tRNA synthetase) (MetRS),3.00E-25,,,
Phel_contig_23315,,,,,,
Phel_contig_23316,Q8ZPL7,Fumarate hydratase class II (Fumarase C) (EC 4.2.1.2),5.00E-121,,,
Phel_contig_23317,,,,,,
Phel_contig_23318,Q1RE44,Macrolide export ATP-binding/permease protein MacB (EC 3.6.3.-),3.00E-36,,,
Phel_contig_23319,,,,,,
Phel_contig_2332,Q7ZUV0,Ankyrin repeat domain-containing protein 13C,0,,,
Phel_contig_23320,Q5ZIL6,Transmembrane protein 41B,1.00E-35,,,
Phel_contig_23321,,,,,,
Phel_contig_23322,O31784,Polyketide synthase PksR (EC 2.3.1.-),7.00E-11,,,
Phel_contig_23323,O54750,Cytochrome P450 2J6 (EC 1.14.14.1) (Arachidonic acid epoxygenase) (CYPIIJ6),2.00E-72,,,
Phel_contig_23324,,,,,,
Phel_contig_23326,Q8FFY2,Uncharacterized protein YegX,1.00E-09,,,
Phel_contig_23327,,,,,,
Phel_contig_23328,,,,,,
Phel_contig_23329,,,,,,
Phel_contig_2333,,,,-1.908308351,0.010774358,
Phel_contig_23330,P42378,RNA polymerase sigma factor RpoH (RNA polymerase sigma-32 factor),6.00E-55,,,
Phel_contig_23331,Q8C1Z8,tRNA methyltransferase 10 homolog A (EC 2.1.1.-) (RNA (guanine-9-)-methyltransferase domain-containing protein 2),4.00E-55,,,
Phel_contig_23332,Q7Z569,BRCA1-associated protein (EC 6.3.2.-) (BRAP2) (Impedes mitogenic signal propagation) (IMP) (RING finger protein 52) (Renal carcinoma antigen NY-REN-63),2.00E-39,,,
Phel_contig_23333,,,,,,
Phel_contig_23334,,,,,,
Phel_contig_23335,,,,,,
Phel_contig_23336,,,,,,
Phel_contig_23337,,,,,,
Phel_contig_23338,,,,,,
Phel_contig_23339,,,,,,
Phel_contig_2334,,,,,,
Phel_contig_23340,Q5R662,Low-density lipoprotein receptor-related protein 12 (LRP-12),1.00E-49,,,
Phel_contig_23341,,,,,,
Phel_contig_23342,,,,,,
Phel_contig_23343,,,,,,
Phel_contig_23344,,,,,,
Phel_contig_23345,,,,,,
Phel_contig_23346,,,,,,
Phel_contig_23347,Q9Y4A5,Transformation/transcription domain-associated protein (350/400 kDa PCAF-associated factor) (PAF350/400) (STAF40) (Tra1 homolog),1.00E-29,,,
Phel_contig_23348,Q60631,Growth factor receptor-bound protein 2 (Adapter protein GRB2) (SH2/SH3 adapter GRB2),2.00E-69,,,
Phel_contig_23349,,,,,,
Phel_contig_2335,,,,,,
Phel_contig_23350,Q59106,2-oxoglutarate dehydrogenase E1 component (EC 1.2.4.2) (Alpha-ketoglutarate dehydrogenase),4.00E-136,,,
